6785.00,6701.00,6800.00,6507.00,8051.00,9005.00,9512.00,11557.00
7803.00,7446.00,7599.00,7673.00,8514.00,8539.00,10579.00,11749.00
7054.00,7182.00,6781.00,6614.00,7521.00,9546.00,10224.00,11803.00
8821.00,7208.00,6722.00,6829.00,8603.00,9349.00,9905.00,10696.00
8602.00,7563.00,7326.00,7891.00,9736.00,8794.00,9723.00,11179.00
7954.00,7204.00,6579.00,8443.00,7725.00,9333.00,10655.00,9618.00
8988.00,8067.00,8050.00,7793.00,8945.00,8387.00,9878.00,10979.00
8635.00,7107.00,8065.00,8673.00,8139.00,9375.00,10840.00,11643.00
nan,nan,nan,nan,nan,nan,nan,nan
-124.65,-124.84,-124.62,-125.28,-121.79,-119.63,-118.48,-113.86
-122.35,-123.16,-122.81,-122.64,-120.74,-120.69,-116.07,-113.42
-124.04,-123.75,-124.66,-125.04,-122.99,-118.41,-116.87,-113.30
-120.05,-123.70,-124.80,-124.55,-120.54,-118.85,-117.60,-115.81
-120.54,-122.89,-123.43,-122.15,-117.98,-120.11,-118.01,-114.71
-122.01,-123.71,-125.12,-120.90,-122.53,-118.89,-115.90,-118.24
-119.67,-121.75,-121.79,-122.37,-119.77,-121.03,-117.66,-115.17
-120.47,-123.92,-121.76,-120.38,-121.59,-118.79,-115.48,-113.66
