8724.00,8690.00,8148.00,7641.00,8602.00,9125.00,9863.00,11163.00
9947.00,9224.00,9653.00,8612.00,9211.00,8531.00,10345.00,11445.00
9321.00,9445.00,8275.00,7973.00,8236.00,9854.00,10421.00,11848.00
11027.00,9331.00,8281.00,8059.00,9683.00,10231.00,10104.00,10671.00
10320.00,9442.00,8795.00,9210.00,10464.00,9517.00,9951.00,11635.00
9856.00,9377.00,8437.00,9879.00,9207.00,10099.00,11235.00,10353.00
10701.00,9819.00,9407.00,9587.00,9878.00,9009.00,10120.00,11336.00
10099.00,8741.00,9304.00,10143.00,9311.00,10044.00,11317.00,12182.00
nan,nan,nan,nan,nan,nan,nan,nan
-120.27,-120.34,-121.57,-122.72,-120.54,-119.36,-117.69,-114.75
-117.50,-119.14,-118.17,-120.52,-119.17,-120.70,-116.60,-114.11
-118.92,-118.64,-121.28,-121.97,-121.37,-117.71,-116.43,-113.20
-115.06,-118.89,-121.27,-121.77,-118.10,-116.86,-117.15,-115.86
-116.66,-118.64,-120.11,-119.17,-116.33,-118.47,-117.49,-113.68
-117.71,-118.79,-120.92,-117.65,-119.17,-117.16,-114.59,-116.58
-115.80,-117.79,-118.72,-118.32,-117.66,-119.62,-117.11,-114.36
-117.16,-120.23,-118.96,-117.06,-118.94,-117.28,-114.40,-112.45
